OrderID,CustomerID,CustomerName,OrderDate,ProductID,ProductName,Quantity,Price,TotalAmount,Category,OrderStatus,PaymentMethod,ShippingAddress
ORD0000000,CUST0050,Caroline Chambers,2024-07-20,PROD0016,Fiction,1,49.18,49.18,Books,Shipped,Credit Card,"30601 Hawkins Highway, Morashire, VT 89538"
ORD0000001,CUST0062,Matthew Smith,2024-02-07,PROD0015,Air Conditioner,6,96.39,578.34,Home Appliances,Delivered,Credit Card,"49263 Wilson View Apt. 873, South Raymondborough, SD 06019"
ORD0000002,CUST0018,Bobby Flores,2024-09-19,PROD0005,Smartwatch,4,161.47,645.88,Electronics,Shipped,PayPal,"37658 Daniel Ranch, Hernandezfurt, SC 89620"
ORD0000003,CUST0019,Tasha Rodriguez,2024-04-27,PROD0011,Blender,4,95.07,380.28,Home Appliances,Shipped,PayPal,"577 Amy Forges Apt. 555, New Eddieview, PA 20935"
ORD0000004,CUST0061,Michelle Hughes,2024-10-07,PROD0021,Lipstick,2,71.11,142.22,Beauty,Delivered,PayPal,"711 Carl Curve Apt. 407, Michelleberg, VI 86495"
ORD0000005,CUST0057,Patrick Rogers,2024-05-11,PROD0023,Moisturizer,1,165.42,165.42,Beauty,Canceled,Cash,"Unit 8688 Box 0918, DPO AP 10509"
ORD0000006,CUST0012,Kimberly Smith,2024-08-31,PROD0029,Toy Car,4,115.3,461.2,Toys,Delivered,Cash,"8967 Lawson Fort, Lake Nicoleburgh, ME 66935"
ORD0000007,CUST0043,Caleb Clark,2024-06-23,PROD0008,Jacket,4,31.64,126.56,Clothing,Delivered,Cash,"4466 Brown Row, East Justin, MP 44282"
ORD0000008,CUST0029,Desiree Cain,2023-12-06,PROD0007,Jeans,5,80.61,403.05,Clothing,Delivered,PayPal,"USCGC Butler, FPO AA 79401"
ORD0000009,CUST0063,George Allen,2024-08-19,PROD0003,Tablet,3,106.58,319.74,Electronics,Shipped,PayPal,"6097 Ellis Courts, Osbornetown, AZ 78921"
ORD0000010,CUST0070,Eric Owens PhD,2024-07-11,PROD0010,Dress,2,94.86,189.72,Clothing,Shipped,Credit Card,"85367 Nicole Ridge Suite 951, Kristinaberg, PW 51310"
ORD0000011,CUST0031,Lauren Hayes,2024-09-20,PROD0012,Microwave,1,121.31,121.31,Home Appliances,Delivered,PayPal,"306 Watson Field, Kellyland, AZ 05741"
ORD0000012,CUST0085,Meredith Rios,2024-05-21,PROD0014,Refrigerator,1,88.56,88.56,Home Appliances,Delivered,Credit Card,"993 Clayton Viaduct, Hunterville, FL 56333"
ORD0000013,CUST0011,Sean Green,2024-10-26,PROD0030,Board Game,3,76.19,228.57,Toys,Shipped,PayPal,"61162 Lacey Meadows, Johnsonmouth, VA 33607"
ORD0000014,CUST0067,Jeremy Green,2023-12-15,PROD0007,Jeans,6,-3.34,-20.04,Clothing,Delivered,Credit Card,"0552 Maria Fort, Chadberg, IL 00924"
ORD0000015,CUST0085,Meredith Rios,2024-02-02,PROD0028,Doll,1,34.6,34.6,Toys,Delivered,Credit Card,"045 Sarah Fort, East Shawn, NJ 45648"
ORD0000016,CUST0081,Hannah Wiggins,2024-08-15,PROD0012,Microwave,1,97.1,97.1,Home Appliances,Delivered,PayPal,"USNS Johnson, FPO AE 47980"
ORD0000017,CUST0043,Caleb Clark,2024-03-24,PROD0016,Fiction,1,75.21,75.21,Books,Delivered,PayPal,"8529 Curtis Prairie Suite 262, Port Jeffrey, NY 32330"
ORD0000018,CUST0006,Theodore Mcgrath,2024-02-14,PROD0025,Shampoo,3,123.04,369.12,Beauty,Delivered,Cash,"6029 Phillip Squares Apt. 264, Yangberg, OR 55838"
ORD0000019,CUST0016,Cheryl Bradley,2024-03-09,PROD0016,Fiction,2,111.56,223.12,Books,Canceled,Credit Card,"75806 Smith Stream, Scottstad, LA 62221"
ORD0000020,CUST0003,Elizabeth Woods,2023-12-20,PROD0007,Jeans,4,20.1,80.4,Clothing,Delivered,PayPal,"USS Hill, FPO AP 79871"
ORD0000021,CUST0070,Eric Owens PhD,2024-08-08,PROD0020,Children,1,110.49,110.49,Books,Delivered,Credit Card,"2662 Susan Junctions Apt. 571, Fischerport, AL 92119"
ORD0000022,CUST0083,Kristin Potts,2024-05-07,PROD0013,Vacuum Cleaner,2,152.03,304.06,Home Appliances,Delivered,PayPal,"41489 Roger Terrace, Davisfort, WV 30957"
ORD0000023,CUST0051,Amy Lowe,2024-06-13,PROD0008,Jacket,2,120.99,241.98,Clothing,Shipped,Cash,"014 Aaron Locks Suite 714, Justinborough, PA 11676"
ORD0000024,CUST0073,Michael Stewart,2023-11-28,PROD0007,Jeans,8,170.15,1361.2,Clothing,Shipped,Credit Card,"8518 Pamela Track Apt. 164, Aprilshire, NC 82701"
ORD0000025,CUST0033,Angela Salazar,2024-02-04,PROD0005,Smartwatch,7,126.78,887.46,Electronics,Delivered,Credit Card,"864 Ramos Port Apt. 211, Moralesmouth, DC 73850"
ORD0000026,CUST0088,Alexa Hernandez,2024-07-31,PROD0020,Children,6,162.84,977.04,Books,Delivered,PayPal,"637 Neal Island Suite 074, Lake Tyler, FM 81915"
ORD0000027,CUST0020,Michelle Kelley,2024-02-06,PROD0021,Lipstick,2,64.16,128.32,Beauty,Delivered,PayPal,"0811 Smith Canyon Apt. 904, Jessicabury, FL 99016"
ORD0000028,CUST0070,Eric Owens PhD,2024-06-24,PROD0012,Microwave,1,144.59,144.59,Home Appliances,Delivered,Credit Card,"7562 Fisher Spur, Hernandezberg, NC 41929"
ORD0000029,CUST0082,Albert Williams,2024-01-04,PROD0022,Perfume,4,86.48,345.92,Beauty,Delivered,Credit Card,"5667 Blair Underpass, South Shelby, OR 93561"
ORD0000030,CUST0084,Susan Williams,2023-12-04,PROD0001,Laptop,3,90.62,271.86,Electronics,Delivered,Credit Card,"PSC 0312, Box 5023, APO AP 39498"
ORD0000031,CUST0091,William Roberts,2024-07-09,PROD0030,Board Game,6,71.99,431.94,Toys,Delivered,Cash,"6708 Carpenter Overpass Suite 735, Bobbyton, GA 46350"
ORD0000032,CUST0073,Michael Stewart,2023-11-16,PROD0016,Fiction,1,171.57,171.57,Books,Delivered,Cash,"16396 Shawn Junction, New Nicolemouth, MD 70742"
