CustomerID,CustomerFirstName,CustomerLastName,City,Email,ShippingAddress
CUST0001,Norma,Fisher,Ramireztown,fisher@yahoo.com,"3751 Maria Creek Suite 271, East Tiffanymouth, SD 51248"
CUST0002,Jorge,Sullivan,Port Jacqueline,sullivan@yahoo.com,"40338 Wood Alley Apt. 965, North Bradleymouth, KY 51347"
CUST0003,Elizabeth,Woods,North Vanessa,elizabeth@gmail.com,"USCGC Lowe, FPO AE 47986"
CUST0004,Susan,Wagner,Marshallmouth,wagner@yahoo.com,"92013 Craig Road Apt. 324, Jensenport, OH 53330"
CUST0005,Peter,Montgomery,South Christopher,montgomery@yahoo.com,"7008 Emily Vista Apt. 999, Lake Amber, GA 41130"
CUST0006,Theodore,Mcgrath,Smithfurt,theodore@gmail.com,"9255 Keller Unions Suite 019, Atkinsfort, OH 05672"
CUST0007,Stephanie,Collins,Davisborough,collins@yahoo.com,"54136 Cindy Glens Suite 950, Port Danielhaven, AR 98926"
CUST0008,Stephanie,Sutton,East Christopherville,sutton@yahoo.com,"24099 Gray Plaza Apt. 812, New Angelamouth, NM 81726"
CUST0009,Brian,Hamilton,Grantbury,hamilton@yahoo.com,"71221 Daniel Tunnel Suite 158, West Richardchester, NE 86725"
CUST0010,Susan,Levy,Thomasberg,levy@yahoo.com,"170 Madison Mountain Apt. 258, Whitechester, MH 64714"
CUST0011,Sean,Green,Port Karafort,sean@gmail.com,"Unit 0311 Box 5933, DPO AP 73725"
CUST0012,Kimberly,Smith,Chadland,kimberly@gmail.com,"975 Bowen Streets Apt. 165, New Jeffrey, MP 27718"
CUST0013,Jennifer,Summers,Martinstad,summers@yahoo.com,"300 Vanessa Manors, Johnstonborough, AK 18031"
CUST0014,April,Snyder,New Patricia,snyder@yahoo.com,"624 Joseph Points Suite 932, Cindytown, AK 43388"
CUST0015,Dana,Nguyen,East Heather,nguyen@yahoo.com,"12611 Hancock Cape Suite 959, South Johnberg, IN 36213"
CUST0016,Cheryl,Bradley,Port Michelletown,cheryl@gmail.com,"8114 Weaver Keys, Lake Danielleshire, CA 36560"
CUST0017,Walter,Pratt,Simmonsfort,pratt@yahoo.com,"83384 Zachary Shores Apt. 618, Jerryport, AL 88018"
CUST0018,Bobby,Flores,Rodriguezside,bobby@gmail.com,"661 Tammy Plains, Billychester, GA 07711"
CUST0019,Tasha,Rodriguez,Jonesberg,tasha@gmail.com,"235 Pollard Motorway, Washingtonview, RI 97400"
CUST0020,Michelle,Kelley,Lloydville,michelle@gmail.com,"2793 Allison Mountains Suite 354, South Jesus, MI 93783"
CUST0021,Kimberly,Maynard,South Anitamouth,maynard@yahoo.com,"504 James Plain Apt. 333, Kevinchester, AZ 52948"
CUST0022,Laurie,Wallace,Lake Michael,wallace@yahoo.com,"328 Clark Dam Apt. 354, Christineville, OH 51292"
CUST0023,Janice,Johnston,Ellishaven,johnston@yahoo.com,"32477 Rivera Via, Robertport, CO 25204"
CUST0024,Collin,Lopez,East Jessica,lopez@yahoo.com,"809 Krystal Alley Apt. 655, Lake Tiffanyton, DC 76387"
CUST0025,Mary,Alvarez,Lake Michael,alvarez@yahoo.com,"093 Thompson Drive, Harrisbury, MN 06626"
CUST0026,Peter,Mcdowell,North Melissa,mcdowell@yahoo.com,"26672 Rebecca Estates, Vincenttown, VT 91406"
CUST0027,Sarah,Villanueva,Port Donna,villanueva@yahoo.com,"506 Torres Mission, Joelshire, ID 22890"
CUST0028,Kimberly,Myers,Lake Michael,myers@yahoo.com,"30180 Baker Orchard Suite 962, Port John, KY 16667"
CUST0029,Desiree,Cain,Lake Michael,desiree@gmail.com,"6310 Craig Squares Apt. 787, Lake Melissaland, KY 17691"
CUST0030,Stephanie,Lawrence,Erinshire,lawrence@yahoo.com,"18439 Cox Islands, Port John, SD 36865"
CUST0031,Lauren,Hayes,Lake Karenhaven,lauren@gmail.com,"17015 Kimberly Grove, Dunnville, WY 98215"
CUST0032,Whitney,Stark,Austintown,stark@yahoo.com,"32645 William Divide Apt. 972, East Raymond, NC 54856"
