OrderID,CustomerID,CustomerName,OrderDate,ProductID,ProductName,Quantity,Price,TotalAmount,Category,OrderStatus,PaymentMethod,ShippingAddress
ORD0000000,CUST1730,Norma Fisher,2024-02-22,PROD0021,Biography,1,49.18,49.18,Books,Shipped,Credit Card,"Unit 7647 Box 5938, DPO AE 37442"
ORD0000001,CUST0977,Brandon Lloyd,2024-11-01,PROD0457,Air Conditioner,6,96.39,578.34,Home Appliances,Delivered,Credit Card,"1157 Michael Island, New Thomas, VI 68835"
ORD0000002,CUST1548,Robert Dunn,2023-11-19,PROD0410,Smartwatch,1,220.21,220.21,Electronics,Shipped,Cash,"097 Sanchez Islands Apt. 393, Port Tammy, AS 71671"
ORD0000003,CUST0636,Bobby Flores,2024-05-29,PROD0461,Laptop,5,23.45,117.25,Electronics,Delivered,PayPal,"Unit 7148 Box 4185, DPO AP 27135"
ORD0000004,CUST0725,Lindsey Matthews,2024-05-04,PROD0313,Science,3,117.89,353.67,Books,Delivered,PayPal,"9342 Lori Bypass Suite 711, East Sandra, MP 11019"
ORD0000005,CUST0128,Tammy Fernandez,2024-04-13,PROD0048,Lipstick,4,160.83,643.32,Beauty,Delivered,Cash,"339 Riley Mission Suite 515, South Brendamouth, PR 25454"
ORD0000006,CUST1369,Nicholas Wilson,2024-02-07,PROD0314,Puzzle,2,125.18,250.36,Toys,Delivered,Cash,"6012 Brandon Ports, North Davidborough, PA 75992"
ORD0000007,CUST0392,Brandon Bass,2023-12-29,PROD0123,Perfume,5,72.36,361.8,Beauty,Delivered,PayPal,"21730 Amy River, Port Jordanbury, CA 85294"
ORD0000008,CUST0187,Jeffrey Brown,2024-05-13,PROD0449,Tablet,2,121.92,243.84,Electronics,Delivered,PayPal,"634 Strong Mountains, Lake Emily, WI 08109"
ORD0000009,CUST1122,Brooke Martin,2024-06-06,PROD0105,Air Conditioner,8,90.16,721.28,Home Appliances,Delivered,PayPal,"207 Mccullough Well Suite 564, New Hannah, NH 97700"
ORD0000010,CUST0912,Patrick Stephens,2024-01-05,PROD0409,Smartwatch,2,63.18,126.36,Electronics,Delivered,Credit Card,"9459 Jennifer Loaf Suite 109, Lake Matthew, IA 29742"
ORD0000011,CUST1255,Jamie Hutchinson,2024-06-21,PROD0244,Doll,1,81.05,81.05,Toys,Delivered,Credit Card,"9602 Brown Squares, South Allison, NM 74085"
ORD0000012,CUST0307,April Williams,2024-03-19,PROD0460,Laptop,3,136.27,408.81,Electronics,Shipped,PayPal,"63812 Richard Springs Suite 503, Lake Karenhaven, RI 13317"
ORD0000013,CUST1069,Lee Gonzalez,2024-03-10,PROD0459,Jeans,3,33.39,100.17,Clothing,Shipped,Credit Card,"76104 Marsh Crescent, Dennishaven, GU 85800"
ORD0000014,CUST0564,Ashley Moore,2024-10-09,PROD0339,Biography,3,56.25,168.75,Books,Delivered,Credit Card,"48559 Meghan Squares, Josephmouth, SC 57575"
ORD0000015,CUST0237,Joshua Clark,2024-06-29,PROD0323,Children,2,-35.29,-70.58,Books,Delivered,Credit Card,"45551 Chan Camp, West Frankshire, LA 47805"
