OrderID,CustomerID,CustomerName,OrderDate,ProductID,ProductName,Quantity,Price,TotalAmount,Category,OrderStatus,PaymentMethod,ShippingAddress
ORD0000000,CUST0088,Alexa Hernandez,12-03-2024,PROD0027,Lego Set,1,87.71,87.71,Toys,Delivered,Credit Card,"6184 Woods Corner, North Anneside, WI 44901"
ORD0000001,CUST0013,Jennifer Summers,05-12-2023,PROD0026,Puzzle,6,128.99,773.94,Toys,Delivered,Credit Card,"300 Vanessa Manors, Johnstonborough, AK 18031"
ORD0000002,CUST0092,Joshua Carter,02-08-2024,PROD0029,Toy Car,1,115.35,115.35,Toys,Delivered,PayPal,"4810 Daniel Stravenue, South Amberside, NC 01748"
ORD0000003,CUST0022,Laurie Wallace,02-07-2024,PROD0019,Biography,1,-5.93,-5.93,Books,Shipped,PayPal,"328 Clark Dam Apt. 354, Christineville, OH 51292"
ORD0000004,CUST0055,Emily Howard,17-11-2023,PROD0024,Facewash,7,21.22,148.54,Beauty,Delivered,Cash,"9369 Jacob Harbor, West Joshua, IN 43610"
ORD0000005,CUST0010,Susan Levy,28-08-2024,PROD0010,Dress,5,152.1,760.5,Clothing,Delivered,Cash,"170 Madison Mountain Apt. 258, Whitechester, MH 64714"
ORD0000006,CUST0053,Jessica Thompson,19-08-2024,PROD0015,Air Conditioner,2,70.48,140.96,Home Appliances,Delivered,Credit Card,"242 Trujillo Station Suite 713, Claudiaborough, NV 66105"
ORD0000007,CUST0029,Desiree Cain,29-11-2023,PROD0029,Toy Car,1,116.93,116.93,Toys,Delivered,PayPal,"6310 Craig Squares Apt. 787, Lake Melissaland, KY 17691"
ORD0000008,CUST0042,Alex Woodward,11-03-2024,PROD0013,Vacuum Cleaner,9,56.44,507.96,Home Appliances,Shipped,PayPal,"1237 Kristin Street, Anthonymouth, WA 31091"
ORD0000009,CUST0068,Joseph Freeman,21-05-2024,PROD0001,Laptop,5,51.29,256.45,Electronics,Shipped,Cash,"USNS Cross, FPO AP 67338"
ORD0000010,CUST0096,Terry Wells,26-05-2024,PROD0006,T-shirt,1,88.14,88.14,Clothing,Delivered,Credit Card,"00830 Norma Trail, Julieborough, PA 96286"
ORD0000011,CUST0005,Peter Montgomery,02-02-2024,PROD0002,Smartphone,3,94.31,282.93,Electronics,Delivered,Credit Card,"7008 Emily Vista Apt. 999, Lake Amber, GA 41130"
ORD0000012,CUST0096,Terry Wells,14-10-2024,PROD0023,Moisturizer,1,108.36,108.36,Beauty,Shipped,Cash,"9868 Osborn Cliffs, Walkerberg, AR 78632"
ORD0000013,CUST0067,Jeremy Green,07-04-2024,PROD0010,Dress,2,64.92,129.84,Clothing,Delivered,PayPal,"606 Stephen Cliffs, Wadetown, KS 14917"
ORD0000014,CUST0015,Dana Nguyen,12-04-2024,PROD0014,Refrigerator,6,91.2,547.2,Home Appliances,Delivered,Credit Card,"12611 Hancock Cape Suite 959, South Johnberg, IN 36213"
ORD0000015,CUST0076,Matthew Russo,19-09-2024,PROD0009,Sneakers,1,84.94,84.94,Clothing,Shipped,PayPal,"Unit 0900 Box 0500, DPO AA 51396"
ORD0000016,CUST0047,Jonathan Williams,14-11-2024,PROD0002,Smartphone,1,161.3,161.3,Electronics,Canceled,Cash,"9542 Hill Forest Suite 837, Danielbury, WV 94857"
ORD0000017,CUST0027,Sarah Villanueva,09-02-2024,PROD0004,Headphones,7,148.1,1036.7,Electronics,Shipped,Credit Card,"506 Torres Mission, Joelshire, ID 22890"
ORD0000018,CUST0079,Jesse Sparks,24-09-2024,PROD0018,Science,2,92.85,185.7,Books,Delivered,Cash,"78566 Jasmine Stravenue Apt. 460, Port Tiffany, UT 05662"
ORD0000019,CUST0032,Whitney Stark,01-04-2024,PROD0027,Lego Set,2,20.37,40.74,Toys,Delivered,Credit Card,"32645 William Divide Apt. 972, East Raymond, NC 54856"
ORD0000020,CUST0097,Vanessa Cooper,06-07-2024,PROD0007,Jeans,5,81.1,405.5,Clothing,Delivered,Cash,"Unit 6225 Box 6132, DPO AE 07713"
ORD0000021,CUST0038,Kenneth Kent,18-01-2024,PROD0009,Sneakers,1,141.52,141.52,Clothing,Canceled,PayPal,"677 Dale Branch Suite 726, Leemouth, MA 50439"
ORD0000022,CUST0027,Sarah Villanueva,03-07-2024,PROD0014,Refrigerator,7,103.61,725.27,Home Appliances,Delivered,PayPal,"6965 Omar Parkway, North Phillipland, CA 57301"
ORD0000023,CUST0019,Tasha Rodriguez,28-11-2023,PROD0026,Puzzle,3,125.92,377.76,Toys,Delivered,Credit Card,"235 Pollard Motorway, Washingtonview, RI 97400"
ORD0000024,CUST0026,Peter Mcdowell,23-03-2024,PROD0030,Board Game,2,14.07,28.14,Toys,Delivered,Credit Card,"26672 Rebecca Estates, Vincenttown, VT 91406"
ORD0000025,CUST0099,Nicholas Kline,11-09-2024,PROD0014,Refrigerator,5,112.22,561.1,Home Appliances,Delivered,Cash,"40455 Rowe Estates, South Ashleyborough, HI 36677"
ORD0000026,CUST0089,Richard Higgins,21-12-2023,PROD0023,Moisturizer,2,88.68,177.36,Beauty,Delivered,PayPal,"904 Daniel Cove Suite 476, Pedrobury, MS 82167"
ORD0000027,CUST0011,Sean Green,01-02-2024,PROD0018,Science,1,82.42,82.42,Books,Delivered,Credit Card,"Unit 0311 Box 5933, DPO AP 73725"
ORD0000028,CUST0051,Amy Lowe,25-07-2024,PROD0022,Perfume,1,126.33,126.33,Beauty,Shipped,Credit Card,"1830 Strickland Mall, North Richardville, VA 53111"
ORD0000029,,,18-02-2024,PROD0008,Jacket,3,48.81,146.43,Clothing,Delivered,Credit Card,"7489 Kline Roads Apt. 643, West Brianbury, VT 04879"
ORD0000030,CUST0051,Amy Lowe,01-08-2024,PROD0006,T-shirt,7,120.13,840.91,Clothing,Delivered,Credit Card,"01972 Jackson Mews Apt. 449, Briannaborough, AL 76873"
ORD0000031,CUST0036,Faith Cabrera,03-07-2024,PROD0005,Smartwatch,3,110.71,332.13,Electronics,Delivered,PayPal,"6872 Anthony Manors, South Christine, KY 70039"
