OrderID,CustomerID,OrderDate,ShippingDate,ProductID,Quantity,TotalAmount,OrderStatus,PaymentMethod,ShippingAddress
ORD0000000,CUST0050,2024-07-20,2024-07-21,PROD0016,1,49.18,Shipped,Credit Card,"30601 Hawkins Highway, Morashire, VT 89538"
ORD0000001,CUST0062,2024-02-07,2024-02-10,PROD0015,6,578.34,Delivered,Credit Card,"49263 Wilson View Apt. 873, South Raymondborough, SD 06019"
ORD0000002,CUST0018,2024-09-19,2024-09-22,PROD0005,4,645.88,Shipped,PayPal,"37658 Daniel Ranch, Hernandezfurt, SC 89620"
ORD0000003,CUST0019,2024-04-27,2024-04-30,PROD0011,4,380.28,Shipped,PayPal,"577 Amy Forges Apt. 555, New Eddieview, PA 20935"
ORD0000004,CUST0061,2024-10-07,2024-10-07,PROD0021,2,142.22,Delivered,PayPal,"711 Carl Curve Apt. 407, Michelleberg, VI 86495"
ORD0000005,CUST0057,2024-05-11,2024-05-12,PROD0023,1,165.42,Canceled,Cash,"Unit 8688 Box 0918, DPO AP 10509"
ORD0000006,CUST0012,2024-08-31,2024-09-01,PROD0029,4,461.2,Delivered,Cash,"8967 Lawson Fort, Lake Nicoleburgh, ME 66935"
ORD0000007,CUST0043,2024-06-23,2024-06-26,PROD0008,4,126.56,Delivered,Cash,"4466 Brown Row, East Justin, MP 44282"
ORD0000008,CUST0029,2023-12-06,2023-12-07,PROD0007,5,403.05,Delivered,PayPal,"USCGC Butler, FPO AA 79401"
ORD0000009,CUST0063,2024-08-19,2024-08-21,PROD0003,3,319.74,Shipped,PayPal,"6097 Ellis Courts, Osbornetown, AZ 78921"
ORD0000010,CUST0070,2024-07-11,2024-07-14,PROD0010,2,189.72,Shipped,Credit Card,"85367 Nicole Ridge Suite 951, Kristinaberg, PW 51310"
ORD0000011,CUST0031,2024-09-20,2024-09-22,PROD0012,1,121.31,Delivered,PayPal,"306 Watson Field, Kellyland, AZ 05741"
ORD0000012,CUST0085,2024-05-21,2024-05-23,PROD0014,1,88.56,Delivered,Credit Card,"993 Clayton Viaduct, Hunterville, FL 56333"
ORD0000013,CUST0011,2024-10-26,2024-10-28,PROD0030,3,228.57,Shipped,PayPal,"61162 Lacey Meadows, Johnsonmouth, VA 33607"
ORD0000014,CUST0067,2023-12-15,2023-12-18,PROD0007,6,-20.04,Delivered,Credit Card,"0552 Maria Fort, Chadberg, IL 00924"
ORD0000015,CUST0085,2024-02-02,2024-02-02,PROD0028,1,34.6,Delivered,Credit Card,"045 Sarah Fort, East Shawn, NJ 45648"
ORD0000016,CUST0081,2024-08-15,2024-08-15,PROD0012,1,97.1,Delivered,PayPal,"USNS Johnson, FPO AE 47980"
ORD0000017,CUST0043,2024-03-24,2024-03-24,PROD0016,1,75.21,Delivered,PayPal,"8529 Curtis Prairie Suite 262, Port Jeffrey, NY 32330"
ORD0000018,CUST0006,2024-02-14,2024-02-17,PROD0025,3,369.12,Delivered,Cash,"6029 Phillip Squares Apt. 264, Yangberg, OR 55838"
ORD0000019,CUST0016,2024-03-09,2024-03-10,PROD0016,2,223.12,Canceled,Credit Card,"75806 Smith Stream, Scottstad, LA 62221"
ORD0000020,CUST0003,2023-12-20,2023-12-21,PROD0007,4,80.4,Delivered,PayPal,"USS Hill, FPO AP 79871"
ORD0000021,CUST0070,2024-08-08,2024-08-09,PROD0020,1,110.49,Delivered,Credit Card,"2662 Susan Junctions Apt. 571, Fischerport, AL 92119"
ORD0000022,CUST0083,2024-05-07,2024-05-09,PROD0013,2,304.06,Delivered,PayPal,"41489 Roger Terrace, Davisfort, WV 30957"
ORD0000023,CUST0051,2024-06-13,2024-06-13,PROD0008,2,241.98,Shipped,Cash,"014 Aaron Locks Suite 714, Justinborough, PA 11676"
ORD0000024,CUST0073,2023-11-28,2023-11-29,PROD0007,8,1361.2,Shipped,Credit Card,"8518 Pamela Track Apt. 164, Aprilshire, NC 82701"
ORD0000025,CUST0033,2024-02-04,2024-02-07,PROD0005,7,887.46,Delivered,Credit Card,"864 Ramos Port Apt. 211, Moralesmouth, DC 73850"
ORD0000026,CUST0088,2024-07-31,2024-08-02,PROD0020,6,977.04,Delivered,PayPal,"637 Neal Island Suite 074, Lake Tyler, FM 81915"
ORD0000027,CUST0020,2024-02-06,2024-02-08,PROD0021,2,128.32,Delivered,PayPal,"0811 Smith Canyon Apt. 904, Jessicabury, FL 99016"
ORD0000028,CUST0070,2024-06-24,2024-06-26,PROD0012,1,144.59,Delivered,Credit Card,"7562 Fisher Spur, Hernandezberg, NC 41929"
ORD0000029,CUST0082,2024-01-04,2024-01-05,PROD0022,4,345.92,Delivered,Credit Card,"5667 Blair Underpass, South Shelby, OR 93561"
ORD0000030,CUST0084,2023-12-04,2023-12-05,PROD0001,3,271.86,Delivered,Credit Card,"PSC 0312, Box 5023, APO AP 39498"
ORD0000031,CUST0091,2024-07-09,2024-07-10,PROD0030,6,431.94,Delivered,Cash,"6708 Carpenter Overpass Suite 735, Bobbyton, GA 46350"
ORD0000032,CUST0073,2023-11-16,2023-11-19,PROD0016,1,171.57,Delivered,Cash,"16396 Shawn Junction, New Nicolemouth, MD 70742"
ORD0000033,CUST0072,2024-05-09,2024-05-12,PROD0021,6,782.28,Delivered,Credit Card,"PSC 4080, Box 3513, APO AP 45818"
ORD0000034,CUST0060,2024-01-26,2024-01-27,PROD0004,1,170.8,Delivered,PayPal,"448 Scott Key Apt. 048, North Stevenmouth, AR 54518"
ORD0000035,CUST0002,2024-05-24,2024-05-27,PROD0019,2,199.48,Delivered,PayPal,"13126 Scott Club, Hansenfurt, AZ 24144"
ORD0000036,CUST0001,2024-02-19,2024-02-22,PROD0030,3,375.06,Delivered,Credit Card,"5561 Bishop Turnpike, Lake Kenneth, NV 67876"
ORD0000037,CUST0089,2024-07-06,2024-07-07,PROD0006,2,327.46,Canceled,PayPal,"3019 Gerald Mall Apt. 340, Trevinoville, MS 85068"
ORD0000038,CUST0003,2024-02-28,2024-02-29,PROD0014,4,515,Delivered,Cash,"84331 Leonard Fort Suite 749, East Lisa, OH 66672"
ORD0000039,CUST0083,2024-03-21,2024-03-21,PROD0011,6,753.6,Delivered,Credit Card,"62281 Kathy Tunnel, Hudsonborough, IA 96519"
ORD0000040,CUST0006,2024-01-05,2024-01-08,PROD0008,3,634.35,Canceled,Credit Card,"9927 Christina Burg Suite 774, East Angelaburgh, TN 65342"
ORD0000041,CUST0096,2024-09-24,2024-09-26,PROD0030,3,183.18,Shipped,Cash,"USCGC Payne, FPO AP 10825"
ORD0000042,CUST0082,2024-02-23,2024-02-24,PROD0018,6,726.78,Delivered,Credit Card,"354 Acevedo Fords Apt. 535, Barnettbury, KS 45612"
ORD0000043,CUST0035,2024-08-01,2024-08-03,PROD0013,4,574.72,Shipped,Credit Card,"9802 Johnson Road, North Johntown, IN 86205"
ORD0000044,CUST0080,2024-03-20,2024-03-20,PROD0001,1,139.09,Delivered,Cash,"6237 Thomas Inlet, Lake Mark, WY 98452"
ORD0000045,CUST0017,2024-04-21,2024-04-24,PROD0011,2,306.78,Delivered,Credit Card,"8870 Robert Loaf Apt. 082, North Mark, MP 23605"
ORD0000046,CUST0023,2024-02-18,2024-02-19,PROD0021,2,243.18,Delivered,PayPal,"USNS Newton, FPO AP 74085"
ORD0000047,CUST0062,2024-01-19,2024-01-21,PROD0018,5,318.9,Canceled,Credit Card,"197 Christina Canyon Suite 560, South Christopherport, TN 20267"
ORD0000048,CUST0062,2024-05-10,2024-05-12,PROD0004,2,147.8,Shipped,Cash,"65476 Lance Heights Suite 089, Sarahton, NH 52282"
ORD0000049,CUST0081,2024-08-21,2024-08-23,PROD0024,5,885.8,Canceled,Credit Card,"0040 Becker Prairie Suite 388, Paulview, IL 15704"
ORD0000050,CUST0011,2024-06-21,2024-06-21,PROD0007,1,149.97,Delivered,Credit Card,"Unit 3985 Box 2250, DPO AP 07219"
ORD0000051,CUST0063,2024-06-21,2024-06-22,PROD0022,2,204.94,Delivered,Cash,"4457 Burke Extension Apt. 290, Martineztown, VA 63469"
ORD0000052,CUST0034,2024-11-02,2024-11-05,PROD0022,2,177.1,Shipped,PayPal,"USNV Burgess, FPO AE 09708"
ORD0000053,CUST0068,2024-06-15,2024-06-17,PROD0017,1,114.1,Delivered,Credit Card,"USNV Dodson, FPO AE 69907"
ORD0000054,CUST0006,2024-01-19,2024-01-21,PROD0010,1,115.65,Delivered,Credit Card,"188 Fischer Grove, Justinchester, WI 94599"
ORD0000055,CUST0077,2024-03-02,2024-03-03,PROD0017,3,438.45,Delivered,Credit Card,"USNV Branch, FPO AE 92981"
ORD0000056,CUST0067,2024-09-13,2024-09-15,PROD0018,5,854.95,Shipped,PayPal,"82965 Herring Points, Fieldsbury, MH 02557"
ORD0000057,CUST0029,2024-04-03,2024-04-05,PROD0003,4,396.76,Shipped,Credit Card,"357 Jessica Gateway, West Jacob, WV 55548"
ORD0000058,CUST0042,2023-12-15,2023-12-17,PROD0005,1,96.22,Shipped,PayPal,"781 Frank Circles, Waltersview, KS 57807"
ORD0000059,CUST0092,2024-10-22,2024-10-24,PROD0029,1,187.48,Delivered,Cash,"514 Travis Track Suite 366, Rowefurt, UT 05536"
ORD0000060,CUST0006,2024-06-28,2024-07-01,PROD0002,1,73.71,Delivered,Cash,"450 Wells Pike, North Christopher, VI 46039"
ORD0000061,CUST0020,2024-04-03,2024-04-04,PROD0029,8,1441.12,Delivered,Cash,"187 Leonard Ville, West Philipberg, WV 83806"
ORD0000062,CUST0065,2024-02-29,2024-03-01,PROD0005,1,116.54,Delivered,Credit Card,"264 Frank Dale, Thorntonton, VA 68607"
ORD0000063,CUST0055,2023-12-01,2023-12-03,PROD0008,2,83.8,Delivered,Cash,"59118 Lisa Flats Suite 544, Lutzberg, WV 59329"
ORD0000064,CUST0062,2024-06-16,2024-06-16,PROD0020,3,459.51,Delivered,Credit Card,"805 James Turnpike, Carrmouth, NC 21392"
ORD0000065,CUST0024,2024-08-16,2024-08-18,PROD0015,3,84.24,Delivered,Credit Card,"8081 Smith Trail, North Ronaldstad, OK 59690"
ORD0000066,CUST0034,2024-03-24,2024-03-25,PROD0014,2,155.46,Canceled,Credit Card,"125 Ian Crossroad Apt. 593, South Deannaport, WY 51555"
ORD0000067,CUST0094,2024-11-03,2024-11-05,PROD0011,7,839.72,Delivered,Credit Card,"1607 Munoz River, Emilyshire, PR 59960"
ORD0000068,CUST0078,2024-04-23,2024-04-25,PROD0026,3,556.08,Delivered,PayPal,"3615 David Keys Apt. 269, West Stephenside, WA 91576"
ORD0000069,CUST0050,2024-05-25,2024-05-28,PROD0016,1,219.65,Shipped,Credit Card,"640 Mary Common, Michaelville, NJ 04835"
ORD0000070,CUST0077,2024-01-13,2024-01-14,PROD0022,3,449.4,Delivered,Credit Card,"PSC 4006, Box 5282, APO AE 23388"
ORD0000071,CUST0100,2024-09-12,2024-09-13,PROD0016,6,832.62,Delivered,Credit Card,"PSC 3950, Box 7603, APO AE 83819"
ORD0000072,CUST0081,2024-03-03,2024-03-05,PROD0011,8,724,Shipped,Cash,"3267 Walter Dam, Cunninghamtown, GA 77001"
ORD0000073,CUST0050,2023-11-17,2023-11-20,PROD0011,2,118.34,Shipped,Credit Card,"00580 Brandon Creek, Port Eric, WY 50291"
ORD0000074,CUST0051,2024-09-15,2024-09-16,PROD0018,4,60.64,Delivered,Credit Card,"532 Dixon Place Suite 126, Tammychester, MH 57653"
ORD0000075,CUST0006,2024-02-18,2024-02-20,PROD0018,6,746.28,Canceled,PayPal,"3769 Mary Harbor, Amyfort, FM 31567"
ORD0000076,CUST0074,2024-03-01,2024-03-02,PROD0007,1,144.26,Shipped,PayPal,"1802 Johnson Manor Suite 617, Martinmouth, NJ 54384"
ORD0000077,CUST0054,2024-01-15,2024-01-16,PROD0023,7,35.07,Delivered,Cash,"155 Courtney Trafficway Suite 803, Gregoryshire, MD 39303"
ORD0000078,CUST0055,2024-04-10,2024-04-10,PROD0001,2,340,Shipped,Credit Card,"606 Brooks Fords Suite 221, Gabrielchester, OK 52719"
ORD0000079,CUST0058,2024-05-13,2024-05-13,PROD0019,1,150.33,Canceled,Cash,"8822 Jared Forks, New Derekfort, MI 82204"
ORD0000080,CUST0093,2024-08-26,2024-08-27,PROD0011,2,310.92,Delivered,Credit Card,"164 Matthew Parkway Suite 826, Jimmyfurt, MI 51653"
ORD0000081,CUST0030,2024-05-16,2024-05-17,PROD0011,3,458.97,Delivered,Credit Card,"1220 Heidi Rue Apt. 998, West Haleyburgh, MS 11691"
ORD0000082,CUST0085,2024-09-18,2024-09-19,PROD0026,4,317.88,Canceled,Credit Card,"7517 Silva Glen, Burnettbury, GA 74116"
ORD0000083,CUST0019,2024-06-16,2024-06-18,PROD0009,1,173.66,Delivered,Cash,"202 Franklin Fords, Ericksonfurt, KS 03275"
ORD0000084,CUST0017,2024-06-30,2024-07-02,PROD0002,2,117.96,Canceled,Cash,"79061 Cook Parkways Suite 079, West Marissafort, OH 85040"
ORD0000085,CUST0082,2024-04-16,2024-04-19,PROD0012,3,320.79,Delivered,PayPal,"85249 Stephen Cliff, Longchester, OH 12591"
ORD0000086,CUST0040,2024-02-26,2024-02-27,PROD0009,6,1110.66,Delivered,Credit Card,"2512 Mackenzie Dam, North Antonio, MO 73675"
ORD0000087,CUST0097,2024-08-12,2024-08-15,PROD0008,2,139.54,Delivered,Cash,"178 Baxter Junctions Apt. 033, Robersonport, KY 29941"
ORD0000088,CUST0077,2023-11-18,2023-11-19,PROD0004,1,146.78,Delivered,PayPal,"14963 Stuart Wall Apt. 343, Kellerstad, LA 50877"
ORD0000089,CUST0019,2024-07-09,2024-07-12,PROD0024,1,123.18,Delivered,Credit Card,"5873 Chen Knolls, Ramirezfurt, WI 94134"
ORD0000090,CUST0081,2024-03-03,2024-03-04,PROD0015,1,56.37,Shipped,Credit Card,"1725 Julia Junction Suite 316, Marshallmouth, OK 81515"
ORD0000091,CUST0027,2024-02-08,2024-02-09,PROD0013,8,1025.76,Delivered,Credit Card,"3580 Thomas Lock Apt. 609, South Claytonborough, VA 43336"
ORD0000092,CUST0014,2024-01-23,2024-01-25,PROD0011,3,198.78,Delivered,Credit Card,"30068 David View Apt. 173, New Peggychester, CA 70877"
ORD0000093,CUST0099,2024-01-22,2024-01-23,PROD0019,1,17.53,Canceled,Credit Card,"PSC 3667, Box 0636, APO AE 81210"
ORD0000094,CUST0067,2024-02-27,2024-02-28,PROD0008,2,125.26,Delivered,Credit Card,"557 Caitlin Course Suite 114, Lake Donaldberg, MS 27644"
ORD0000095,CUST0090,2024-06-24,2024-06-27,PROD0020,2,112.72,Delivered,Credit Card,"Unit 5368 Box 8181, DPO AP 62709"
ORD0000096,CUST0081,2024-01-02,2024-01-05,PROD0015,3,77.58,Delivered,Credit Card,"2785 Robert Lane Apt. 985, South John, NJ 54277"
ORD0000097,CUST0030,2023-11-24,2023-11-24,PROD0024,1,138.24,Canceled,Credit Card,"673 Allen Neck, Thomasmouth, LA 47683"
ORD0000098,CUST0086,2024-07-25,2024-07-26,PROD0001,1,34.88,Delivered,Credit Card,"134 Sophia Drives, Benjaminburgh, WI 61921"
ORD0000099,CUST0033,2024-04-14,2024-04-15,PROD0013,6,535.32,Delivered,Credit Card,"3260 Barron Springs Apt. 528, Hernandezfort, MH 87428"
ORD0000100,CUST0011,2024-06-23,2024-06-25,PROD0001,4,337.6,Delivered,Credit Card,"USCGC Johnson, FPO AA 79664"
ORD0000101,CUST0098,2024-10-07,2024-10-07,PROD0006,2,285.64,Delivered,PayPal,"00237 Donna Coves, Middletonport, FM 90026"
ORD0000102,CUST0074,2024-03-25,2024-03-27,PROD0022,2,79.8,Delivered,PayPal,"58576 Branch Island, Jonesbury, WV 15351"
ORD0000103,CUST0036,2024-09-01,2024-09-03,PROD0014,2,275.42,Delivered,Credit Card,"8350 Richard Corners Suite 996, Lake Adam, TN 18376"
ORD0000104,CUST0090,2024-06-08,2024-06-09,PROD0004,2,74.52,Delivered,PayPal,"6881 Cassidy Street Suite 036, Larrytown, WI 31843"
ORD0000105,CUST0096,2024-07-10,2024-07-13,PROD0017,2,225.62,Delivered,Credit Card,"Unit 0985 Box 2741, DPO AP 59110"
ORD0000106,CUST0084,2024-03-02,2024-03-05,PROD0004,2,199.02,Delivered,Credit Card,"6853 Walls Cape, West Courtney, OK 64076"
ORD0000107,CUST0061,2023-12-09,2023-12-10,PROD0016,5,418,Canceled,PayPal,"USCGC Graham, FPO AA 96073"
ORD0000108,CUST0011,2024-10-18,2024-10-18,PROD0029,1,167.32,Canceled,Cash,"220 Janice Gateway Apt. 446, West Kellyborough, WA 71505"
ORD0000109,CUST0090,2024-06-12,2024-06-12,PROD0012,1,117.82,Delivered,Credit Card,"70452 Forbes Courts, Mosesland, KS 75278"
ORD0000110,CUST0056,2023-12-25,2023-12-26,PROD0018,2,129.82,Delivered,Credit Card,"0835 Angela Station, East Heather, IN 52803"
ORD0000111,CUST0091,2024-02-01,2024-02-04,PROD0010,2,326.32,Delivered,Credit Card,"2458 Jason Village Suite 248, North Donnamouth, ME 93087"
ORD0000112,CUST0045,2024-09-13,2024-09-13,PROD0019,5,364.5,Delivered,Cash,"USS Miller, FPO AE 38827"
ORD0000113,CUST0076,2024-09-21,2024-09-23,PROD0026,6,735.36,Delivered,PayPal,"88571 Shaw Village Suite 119, Barajasburgh, LA 32094"
ORD0000114,CUST0024,2024-07-16,2024-07-18,PROD0011,4,335.88,Delivered,Credit Card,"00415 Levine Shoal Suite 038, West Carla, WY 51437"
ORD0000115,CUST0066,2024-04-25,2024-04-25,PROD0013,2,134.58,Delivered,PayPal,"5877 Rodney Extension, East Jasminfort, MS 04512"
ORD0000116,CUST0086,2024-02-15,2024-02-18,PROD0030,7,1122.59,Delivered,PayPal,"27058 Martinez Gateway, Campbellfurt, NE 62199"
ORD0000117,CUST0028,2024-08-11,2024-08-11,PROD0013,1,73.46,Delivered,Credit Card,"USS Martin, FPO AP 47333"
ORD0000118,CUST0038,2024-02-01,2024-02-04,PROD0026,1,117.25,Canceled,Credit Card,"2284 Howard Way, Schaeferburgh, IA 99887"
ORD0000119,CUST0029,2024-06-19,2024-06-22,PROD0017,2,52.94,Delivered,Cash,"384 Jennifer Turnpike, North Robert, MS 66761"
ORD0000120,CUST0041,2024-04-13,2024-04-14,PROD0015,2,189,Delivered,Credit Card,"21801 Suzanne Gardens Suite 746, Dorothyview, VA 10545"
ORD0000121,CUST0027,2024-10-26,2024-10-28,PROD0023,1,110.77,Delivered,PayPal,"300 Heather Gateway, Mckinneyberg, PA 82666"
ORD0000122,CUST0095,2024-10-21,2024-10-21,PROD0013,2,114.1,Shipped,Credit Card,"255 Gallegos Hills, Dennisfort, AS 96723"
ORD0000123,CUST0040,2024-11-12,2024-11-15,PROD0021,1,138.02,Delivered,Credit Card,"657 Alexander Mountains, Sharonmouth, MI 84106"
ORD0000124,CUST0053,2024-07-06,2024-07-08,PROD0019,2,263.8,Shipped,Credit Card,"849 Jacob Forge Suite 828, Port Carla, WV 70196"
ORD0000125,CUST0028,2024-09-11,2024-09-14,PROD0020,1,119.03,Delivered,PayPal,"PSC 7546, Box 4780, APO AP 25971"
ORD0000126,CUST0051,2024-02-22,2024-02-23,PROD0002,1,117.92,Delivered,Credit Card,"39140 Sheila Ferry, Lake Michael, AS 35585"
ORD0000127,CUST0056,2023-11-18,2023-11-18,PROD0005,6,1164.66,Delivered,PayPal,"92436 Rodgers Walks, Christopherchester, WY 15618"
ORD0000128,CUST0092,2024-08-12,2024-08-14,PROD0014,2,62.16,Delivered,Credit Card,"98453 Gonzalez Ferry, South Dominique, RI 78018"
ORD0000129,CUST0079,2024-05-29,2024-05-31,PROD0026,1,116.74,Delivered,Credit Card,"06902 Robert Isle, Lake Bryan, DC 41935"
ORD0000130,CUST0095,2024-07-27,2024-07-29,PROD0026,4,5.88,Delivered,PayPal,"9541 Brock Estate Apt. 848, Franklinchester, TN 21347"
ORD0000131,CUST0016,2024-07-07,2024-07-07,PROD0030,2,181.02,Delivered,PayPal,"PSC 2191, Box 2741, APO AP 56307"
ORD0000132,CUST0085,2024-02-24,2024-02-26,PROD0012,4,459.64,Delivered,Credit Card,"588 Alan Rest, Port Stephanieville, MT 50971"
ORD0000133,CUST0048,2024-09-14,2024-09-17,PROD0029,1,89.39,Delivered,Cash,"Unit 0521 Box 6930, DPO AE 54557"
ORD0000134,CUST0071,2024-11-04,2024-11-05,PROD0023,2,78.94,Shipped,Credit Card,"PSC 0096, Box 2846, APO AA 72111"
ORD0000135,CUST0023,2023-12-06,2023-12-06,PROD0021,1,31.5,Delivered,Cash,"282 Brianna Extension Apt. 974, Johnnyfurt, TX 01679"
ORD0000136,CUST0064,2024-10-15,2024-10-18,PROD0022,1,124.61,Delivered,PayPal,"104 Kendra Village, North Stephanie, AL 97539"
ORD0000137,CUST0017,2024-09-28,2024-09-29,PROD0029,6,761.52,Delivered,Cash,"9115 Jon Isle, Ruizhaven, CO 11100"
ORD0000138,CUST0068,2024-03-16,2024-03-17,PROD0023,2,109,Delivered,Credit Card,"786 Rebecca Divide Suite 852, East Ericfurt, SD 74583"
